Line 1 getShape : 34 20
Line 2 columns : 1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19Line 3 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 91 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 88 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 6 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 46 9 45 7 92 48 44 41 61
31 51 14 98 20 49 4 70 64 26 6 18 18 90 42 68 57 54 54 59
5 7 99 38 58 47 96 38 20 29 96 88 52 43 16 20 80 35 13 33
39 77 1 11 40 26 22 79 22 74 20 57 14 19 54 35 68 49 5 81
74 64 51 52 1 86 55 36 96 7 81 94 79 65 44 49 62 80 7 99
58 49 3 96 1 79 94 49 11 31 32 3 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 4 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 47 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 83 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 79 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 68 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 38 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 44 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 73 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 61 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 70 64 57 15 34 67 56 37 27
38 5 69 32 22 99 89 38 2 44 15 27 9 1 75 69 6 67 47 9
55 58 68 55 56 17 36 51 25 49 39 35 5 32 92 30 42 25 95 69
44 36 84 45 62 31 96 0 32 13 42 44 41 25 71 85 8 74 93 91
72 61 18 38 59 8 4 64 56 4 24 78 25 42 98 55 8 83 53 18
52 95 11 80 54 95 22 19 81 60 10 20 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 97 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 41 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 91 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 43 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 84 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 30 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 37 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 0 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 2 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 26 40 91 94 1 64 78 71 9Line 4 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 91 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 88 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 6 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 46 9 45 7 92 48 44 41 61
31 51 14 98 20 49 4 70 64 26 6 18 18 90 42 68 57 54 54 59
5 7 99 38 58 47 96 38 20 29 96 88 52 43 16 20 80 35 13 33
39 77 1 11 40 26 22 79 22 74 20 57 14 19 54 35 68 49 5 81
74 64 51 52 1 86 55 36 96 7 81 94 79 65 44 49 62 80 7 99
58 49 3 96 1 79 94 49 11 31 32 3 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 4 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 47 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 83 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 79 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 68 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 38 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 44 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 73 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 61 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 70 64 57 15 34 67 56 37 27
38 5 69 32 22 99 89 38 2 44 15 27 9 1 75 69 6 67 47 9
55 58 68 55 56 17 36 51 25 49 39 35 5 32 92 30 42 25 95 69
44 36 84 45 62 31 96 0 32 13 42 44 41 25 71 85 8 74 93 91
72 61 18 38 59 8 4 64 56 4 24 78 25 42 98 55 8 83 53 18
52 95 11 80 54 95 22 19 81 60 10 20 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 97 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 41 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 91 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 43 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 84 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 30 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 37 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 0 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 2 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 26 40 91 94 1 64 78 71 9Line 5 drop 1 31 1x11 : true
Line 6 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 59 extract 25 34 23 26
Line 60 getShape : 28 19
Line 61 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 62 extract 5 27 31 13
Line 63 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 64 extract 15 18 29 29
Line 65 printHead 32 25
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 66 operator= 
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 67 getShape : 28 19
Line 68 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 69 drop 1 8 1x25 : false
Line 70 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 71 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 72 extract 32 41 8 67
Line 73 printTail 13 13
1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
66 27 42 3 52 64 57 15 34 67 56 37 27
36 51 25 49 39 5 32 92 30 42 25 95 69
22 19 81 60 10 84 71 31 37 76 26 26 43
17 74 43 66 56 69 7 96 93 73 68 36 53
95 79 25 28 90 0 96 15 3 29 88 76 66
84 1 58 41 66 35 15 69 43 40 63 47 7
19 66 82 33 38 55 82 51 84 57 67 74 64
0 62 93 64 34 12 59 72 33 36 16 18 16
11 87 34 12 36 90 58 51 56 59 95 62 76
16 33 75 25 81 83 20 69 57 83 92 26 76
19 52 27 66 10 87 13 71 57 46 59 6 18
64 62 48 53 56 15 21 45 61 75 63 54 54
17 38 60 5 21 40 91 94 1 64 78 71 9Line 74 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
8 23 40 79 0 5 77 93 47 79 9 1 96 60 19 42 78 8 26
68 74 76 28 42 2 17 96 84 86 20 30 23 93 94 10 64 63 31
6 29 65 56 51 65 66 27 42 3 52 64 57 15 34 67 56 37 27
55 58 68 55 56 17 36 51 25 49 39 5 32 92 30 42 25 95 69
52 95 11 80 54 95 22 19 81 60 10 84 71 31 37 76 26 26 43
77 42 95 31 57 46 17 74 43 66 56 69 7 96 93 73 68 36 53
83 50 56 76 37 49 95 79 25 28 90 0 96 15 3 29 88 76 66
50 37 67 94 26 91 84 1 58 41 66 35 15 69 43 40 63 47 7
20 98 57 14 68 61 19 66 82 33 38 55 82 51 84 57 67 74 64
50 80 40 28 14 11 0 62 93 64 34 12 59 72 33 36 16 18 16
35 59 9 18 37 77 11 87 34 12 36 90 58 51 56 59 95 62 76
20 56 49 23 85 40 16 33 75 25 81 83 20 69 57 83 92 26 76
47 71 82 0 89 30 19 52 27 66 10 87 13 71 57 46 59 6 18
24 38 94 25 22 92 64 62 48 53 56 15 21 45 61 75 63 54 54
74 1 29 82 13 29 17 38 60 5 21 40 91 94 1 64 78 71 9Line 75 drop 1 13 1x30 : false
Line 76 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
42 46 87 4 14 45 10 69 60 87 63 20 39 30 33 25 44 32 34
62 93 75 35 57 58 25 45 48 69 44 30 76 57 11 51 68 29 10
50 14 58 19 53 87 61 2 33 68 66 15 78 41 28 64 47 81 9
58 6 42 91 30 83 15 67 79 32 10 9 45 7 92 48 44 41 61
5 7 99 38 58 47 96 38 20 29 96 52 43 16 20 80 35 13 33
58 49 3 96 1 79 94 49 11 31 32 94 34 21 58 79 15 43 71
1 18 72 39 11 95 76 28 50 97 62 3 83 39 79 89 17 76 55
98 11 83 0 19 90 70 50 73 75 57 53 23 40 78 85 94 65 12
7 17 65 57 14 82 4 54 56 78 49 98 21 0 82 45 58 57 98
52 71 16 82 36 1 59 32 7 90 1 48 10 78 57 40 14 25 62
58 31 79 0 98 25 30 65 20 44 59 41 48 52 26 86 93 5 85
43 49 14 65 21 52 2 45 27 97 29 69 86 75 64 73 68 80 81
7 76 36 47 6 73 88 46 50 64 32 3 71 79 80 84 6 75 65
